Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Progress,Value
2013,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,121.27,121.27
2016,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,107.34,92.66
2019,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,109.61,90.39
2014,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,105.55,105.55
2017,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,125.35,125.35
2015,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,115.38,115.38
2020,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,102.86,102.86
2023,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,108.72,108.72
2018,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,114.69,114.69
2021,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,116.22,116.22
2010,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,119.5,80.5
2022,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,115.25,84.75
2017,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,110.68,89.32
2016,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,105.19,94.81
2023,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,103.53,96.47
2019,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,103.69,96.31
2014,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,105.44,105.44
2013,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,106.22,93.78
2011,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,107.35,92.65
2012,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,107.34,92.66
2022,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,101.59,101.59
2021,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,107.55,92.45
2020,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,108.96,91.04
2015,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,108.31,91.69
2010,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,112.82,112.82
2018,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,101.06,101.06
2010,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,111.07,88.93
2016,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,100.52,99.48
2022,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,131.47,68.53
2017,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,104.2,95.8
2023,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,130.04000000000002,69.96
2021,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,114.08,85.92
2013,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,106.77,93.23
2019,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,124.66,75.34
2014,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,116.24,83.76
2011,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,118.12,118.12
2020,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,106.37,106.37
2015,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,104.38,95.62
2018,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,120.47,79.53
2012,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,102.56,97.44
2012,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,120.04,79.96
2021,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,108.59,91.41
2010,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,118.71,81.29
2023,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,136.57,63.43
2017,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,107.6,92.4
2019,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,122.45,77.55
2020,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,121.38,78.62
2022,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,115.52,84.48
2015,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,111.33,88.67
2016,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,114.68,85.32
2013,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,116.67,83.33
2011,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,121.84,78.16
2014,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,112.92,87.08
2018,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,118.07,81.93
2011,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,104.37,104.37
2016,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,101.6,101.6
2013,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,101.85,98.15
2020,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,115.18,84.82
2017,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,103.82,96.18
2010,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,108.22,108.22
2012,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,101.55,98.45
2015,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,104.62,95.38
2018,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,101.94,98.06
2022,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,100.44,99.56
2019,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,104.56,95.44
2021,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,102.36,97.64
2014,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,104.89,95.11
2023,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,100.44,99.56
2019,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,101.45,101.45
2012,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,112.83,87.17
2014,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,104.11,95.89
2023,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,121.8,121.8
