Year,Series,Institucion,Territorio,Units,Value,Progress
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.48,1.48
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62,1.62
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.54,1.54
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.56,1.56
2024,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.66,1.66
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59,1.59
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59,1.59
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62,1.62
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.6,1.6
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58,1.58
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.53,1.53
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48,1.48
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49,1.49
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48,1.48
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48,1.48
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48,1.48
