Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value,Progress
2022,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,84.48,115.52
2015,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,88.67,111.33
2016,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,85.32,114.68
2013,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,83.33,116.67
2011,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,78.16,121.84
2014,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,87.08,112.92
2018,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,81.93,118.07
2011,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,104.37,104.37
2016,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,101.6,101.6
2013,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,98.15,101.85
2020,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,84.82,115.18
2017,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,96.18,103.82
2010,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,108.22,108.22
2012,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,98.45,101.55
2015,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,95.38,104.62
2018,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,98.06,101.94
2022,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,99.56,100.44
2019,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,95.44,104.56
2021,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,97.64,102.36
2014,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,95.11,104.89
2023,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,99.56,100.44
2019,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,101.45,101.45
2012,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,87.17,112.83
2014,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,95.89,104.11
2023,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,121.8,121.8
2013,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,82.97,117.03
2020,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,108.49,108.49
2010,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,69.14,130.86
2011,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,80.81,119.19
2016,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,68.48,131.51999999999998
2022,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,85.02,114.98
2018,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,95.41,104.59
2021,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,106.07,106.07
2015,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,75.6,124.4
2017,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,109.14,109.14
2020,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,104.92,104.92
2022,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,113.26,113.26
2011,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,101.46,101.46
2017,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,93.8,106.2
2016,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,102.96,102.96
2023,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,111.51,111.51
2021,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,86.47,113.53
2019,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,101.07,101.07
2014,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,111.43,111.43
2013,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,108.32,108.32
2010,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,94.1,105.9
2012,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,95.13,104.87
2015,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,95.44,104.56
2018,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,110.99,110.99
2012,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,154.2,154.2
2022,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,46.86,153.14
2013,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,121.97,121.97
